Field,ID,Type (種類),default,ja,en,de,ko,vi,zh-cn,zh-tw,hi,ms,id,pt-BR
StoreLogo1080x1080,601,相対パス (またはパートナー センターにあるファイルへの URL),,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3032562801126043870,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069164/listingassets/3032562801126043870,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069166/listingassets/3032562801126043870,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069168/listingassets/3032562801126043870,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069170/listingassets/3032562801126043870,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069172/listingassets/3032562801126043870,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069174/listingassets/3032562801126043870,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3032562801126043870,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3032562801126043870,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3032562801126043870,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3032562801126043870
StoreLogo300x300,602,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
OverrideLogosForWin10,603,True/False,,False,False,False,False,False,False,False,False,False,False,False
StoreLogoOverride150x150,604,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
StoreLogoOverride71x71,605,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
PromoImage1920x1080,606,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
PromoImage2400x1200,607,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxBrandedKeyArt584x800,608,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxTitledHero1920x1080,609,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxFeaturedPromo1080x1080,610,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
OptionalPromo358x358,611,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
OptionalPromo1000x800,612,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
OptionalPromo414x180,613,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
Feature1,700,テキスト,,対象ウィンドウを指定するだけのかんたん翻訳開始,Easy translation start by simply specifying the target window.,Einfache Übersetzung durch Auswahl des Ziel-Fensters.,대상 창을 지정하기만 하면 간편하게 번역 시작.,Dễ dàng bắt đầu dịch chỉ bằng cách chọn cửa sổ mục tiêu.,只需指定目标窗口即可轻松开始翻译。,只需指定目標視窗即可輕鬆開始翻譯。,लक्ष्य विंडो निर्दिष्ट करके आसान अनुवाद प्रारंभ करें,Mula terjemahan mudah hanya dengan menentukan tetingkap sasaran.,Mulai terjemahan mudah hanya dengan menentukan jendela target.,Comece a tradução facilmente apenas especificando a janela alvo.
Feature2,701,テキスト,,訳文をゲーム／アプリ画面に重ねるオーバーレイ表示,Overlay translation on game/app screen.,Übersetzung als Overlay auf dem Spiel-/App-Bildschirm.,게임/앱 화면에 번역문 오버레이 표시.,Hiển thị bản dịch dưới dạng lớp phủ trên màn hình trò chơi/ứng dụng.,将译文叠加显示在游戏/应用屏幕上。,將譯文疊加顯示於遊戲/應用螢幕。,गेम/ऐप स्क्रीन पर अनुवाद ओवरले प्रदर्शन,Paparan hamparan terjemahan pada skrin permainan/aplikasi.,Tampilan overlay terjemahan pada layar game/aplikasi.,Exibição sobreposta de tradução na tela do jogo/aplicativo.
Feature3,702,テキスト,,DeepL・Gemini など複数エンジンを選択可能,"Multiple engines available: DeepL, Gemini, etc.","Mehrere Engines verfügbar: DeepL, Gemini usw.","DeepL, Gemini 등 다양한 엔진 선택 가능.","Có thể chọn nhiều công cụ dịch: DeepL, Gemini, v.v.",可选择多种引擎：DeepL、Gemini 等。,可選多種引擎：DeepL、Gemini 等。,"DeepL, Gemini आदि कई इंजन से चयन करें","Pelbagai enjin tersedia: DeepL, Gemini, dll.","Beberapa mesin tersedia: DeepL, Gemini, dll.","Vários mecanismos disponíveis: DeepL, Gemini, etc."
Feature4,703,テキスト,,ホットキー操作,Hotkey operation.,Hotkey-Bedienung.,핫키 조작.,Thao tác bằng phím tắt.,热键操作。,熱鍵操作。,हॉटकी संचालन,Operasi kekunci panas.,Operasi hotkey.,Operação por teclas de atalho.
Feature5,704,テキスト,,,,,,,,,,,,
Feature6,705,テキスト,,,,,,,,,,,,
Feature7,706,テキスト,,,,,,,,,,,,
Feature8,707,テキスト,,,,,,,,,,,,
Feature9,708,テキスト,,,,,,,,,,,,
Feature10,709,テキスト,,,,,,,,,,,,
Feature11,710,テキスト,,,,,,,,,,,,
Feature12,711,テキスト,,,,,,,,,,,,
Feature13,712,テキスト,,,,,,,,,,,,
Feature14,713,テキスト,,,,,,,,,,,,
Feature15,714,テキスト,,,,,,,,,,,,
Feature16,715,テキスト,,,,,,,,,,,,
Feature17,716,テキスト,,,,,,,,,,,,
Feature18,717,テキスト,,,,,,,,,,,,
Feature19,718,テキスト,,,,,,,,,,,,
Feature20,719,テキスト,,,,,,,,,,,,
MinimumHardwareReq1,800,テキスト,,,,,,,,,,,,
MinimumHardwareReq2,801,テキスト,,,,,,,,,,,,
MinimumHardwareReq3,802,テキスト,,,,,,,,,,,,
MinimumHardwareReq4,803,テキスト,,,,,,,,,,,,
MinimumHardwareReq5,804,テキスト,,,,,,,,,,,,
MinimumHardwareReq6,805,テキスト,,,,,,,,,,,,
MinimumHardwareReq7,806,テキスト,,,,,,,,,,,,
MinimumHardwareReq8,807,テキスト,,,,,,,,,,,,
MinimumHardwareReq9,808,テキスト,,,,,,,,,,,,
MinimumHardwareReq10,809,テキスト,,,,,,,,,,,,
MinimumHardwareReq11,810,テキスト,,,,,,,,,,,,
RecommendedHardwareReq1,850,テキスト,,,,,,,,,,,,
RecommendedHardwareReq2,851,テキスト,,,,,,,,,,,,
RecommendedHardwareReq3,852,テキスト,,,,,,,,,,,,
RecommendedHardwareReq4,853,テキスト,,,,,,,,,,,,
RecommendedHardwareReq5,854,テキスト,,,,,,,,,,,,
RecommendedHardwareReq6,855,テキスト,,,,,,,,,,,,
RecommendedHardwareReq7,856,テキスト,,,,,,,,,,,,
RecommendedHardwareReq8,857,テキスト,,,,,,,,,,,,
RecommendedHardwareReq9,858,テキスト,,,,,,,,,,,,
RecommendedHardwareReq10,859,テキスト,,,,,,,,,,,,
RecommendedHardwareReq11,860,テキスト,,,,,,,,,,,,
SearchTerm1,900,テキスト,,翻訳ツール,Translation tool,Übersetzungswerkzeug,번역 도구,Công cụ dịch,翻译工具,翻譯工具,अनुवाद उपकरण,Alat terjemahan,Alat terjemahan,Ferramenta de tradução
SearchTerm2,901,テキスト,,ウィンドウ翻訳,Window translation,Fensterübersetzung,윈도우 번역,Dịch cửa sổ,窗口翻译,視窗翻譯,विंडो अनुवाद,Terjemahan tetingkap,Terjemahan jendela,Tradução de janelas
SearchTerm3,902,テキスト,,PC向け翻訳ソフト,PC translation software,PC-Übersetzungssoftware,PC용 번역 소프트웨어,Phần mềm dịch cho PC,PC翻译软件,PC翻譯軟體,PC अनुवाद सॉफ्टवेयर,Perisian terjemahan PC,Perangkat lunak terjemahan PC,Software de tradução para PC
SearchTerm4,903,テキスト,,画面テキスト翻訳,Screen text translation,Bildschirmtextübersetzung,화면 텍스트 번역,Dịch văn bản màn hình,屏幕文本翻译,螢幕文字翻譯,स्क्रीन टेक्स्ट अनुवाद,Terjemahan teks skrin,Terjemahan teks layar,Tradução de texto na tela
SearchTerm5,904,テキスト,,ゲーム翻訳ツール,Game translation tool,Spielübersetzungstool,게임 번역 도구,Công cụ dịch game,游戏翻译工具,遊戲翻譯工具,गेम अनुवाद उपकरण,Alat terjemahan permainan,Alat terjemahan game,Ferramenta de tradução de jogos
SearchTerm6,905,テキスト,,アプリ画面翻訳,App screen translation,App-Bildschirmübersetzung,앱 화면 번역,Dịch màn hình ứng dụng,应用屏幕翻译,應用程式螢幕翻譯,ऐप स्क्रीन अनुवाद,Terjemahan skrin aplikasi,Terjemahan layar aplikasi,Tradução de tela de aplicativo
SearchTerm7,906,テキスト,,OCR連携翻訳ツール,OCR integrated translation tool,OCR-Übersetzungstool,OCR 연동 번역 도구,Công cụ dịch tích hợp OCR,OCR集成翻译工具,OCR整合翻譯工具,OCR एकीकृत अनुवाद उपकरण,Alat terjemahan bersepadu OCR,Alat terjemahan terintegrasi OCR,Ferramenta de tradução integrada com OCR
TrailerToPlayAtTopOfListing,999,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
Trailer1,1000,相対パス (またはパートナー センターにあるファイルへの URL),,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/trailers/3066319628284177967,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/trailers/3066319628284177967,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/trailers/3066319628284177967,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/trailers/3066319628284177967,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/trailers/3066319628284177967,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/trailers/3066319628284177967,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/trailers/3066319628284177967,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/trailers/3066319628284177967,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/trailers/3066319628284177967,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/trailers/3066319628284177967,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/trailers/3066319628284177967
Trailer2,1001,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
Trailer3,1002,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
Trailer4,1003,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
Trailer5,1004,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
Trailer6,1005,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
Trailer7,1006,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
Trailer8,1007,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
Trailer9,1008,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
Trailer10,1009,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
Trailer11,1010,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
Trailer12,1011,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
Trailer13,1012,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
Trailer14,1013,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
Trailer15,1014,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerTitle1,1020,テキスト,,PCゲームを自動翻訳 WindowTranaslator,Automatically translate PC games with WindowTranslator,PC-Spiele mit Windows Translator automatisch übersetzen,PC 게임 자동 번역 WindowTranaslator,Tự động dịch trò chơi PC WindowTranaslator,PC游戏自动翻译 WindowTranaslator,PC遊戲自動翻譯 WindowTranaslator,PC गेम स्वचालित अनुवाद WindowTranslator,Terjemahkan permainan PC secara automatik dengan WindowTranslator,Terjemahkan game PC secara otomatis dengan WindowTranslator,Tradução automática de jogos de PC com WindowTranslator
TrailerTitle2,1021,テキスト,,,,,,,,,,,,
TrailerTitle3,1022,テキスト,,,,,,,,,,,,
TrailerTitle4,1023,テキスト,,,,,,,,,,,,
TrailerTitle5,1024,テキスト,,,,,,,,,,,,
TrailerTitle6,1025,テキスト,,,,,,,,,,,,
TrailerTitle7,1026,テキスト,,,,,,,,,,,,
TrailerTitle8,1027,テキスト,,,,,,,,,,,,
TrailerTitle9,1028,テキスト,,,,,,,,,,,,
TrailerTitle10,1029,テキスト,,,,,,,,,,,,
TrailerTitle11,1030,テキスト,,,,,,,,,,,,
TrailerTitle12,1031,テキスト,,,,,,,,,,,,
TrailerTitle13,1032,テキスト,,,,,,,,,,,,
TrailerTitle14,1033,テキスト,,,,,,,,,,,,
TrailerTitle15,1034,テキスト,,,,,,,,,,,,
TrailerThumbnail1,1040,相対パス (またはパートナー センターにあるファイルへの URL),,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/trailers/1152922700022251430/assets/3046467379904781337,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/trailers/1152922700022251430/assets/3046467379904781337,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/trailers/1152922700022251430/assets/3046467379904781337,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/trailers/1152922700022251430/assets/3046467379904781337,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/trailers/1152922700022251430/assets/3046467379904781337,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/trailers/1152922700022251430/assets/3046467379904781337,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/trailers/1152922700022251430/assets/3046467379904781337,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/trailers/1152922700022251430/assets/3046467379904781337,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/trailers/1152922700022251430/assets/3046467379904781337,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/trailers/1152922700022251430/assets/3046467379904781337,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/trailers/1152922700022251430/assets/3046467379904781337
TrailerThumbnail2,1041,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerThumbnail3,1042,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerThumbnail4,1043,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerThumbnail5,1044,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerThumbnail6,1045,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerThumbnail7,1046,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerThumbnail8,1047,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerThumbnail9,1048,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerThumbnail10,1049,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerThumbnail11,1050,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerThumbnail12,1051,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerThumbnail13,1052,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerThumbnail14,1053,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerThumbnail15,1054,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerClosedCaption1,1055,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerClosedCaption2,1056,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerClosedCaption3,1057,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerClosedCaption4,1058,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerClosedCaption5,1059,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerClosedCaption6,1060,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerClosedCaption7,1061,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerClosedCaption8,1062,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerClosedCaption9,1063,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerClosedCaption10,1064,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerClosedCaption11,1065,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerClosedCaption12,1066,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerClosedCaption13,1067,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerClosedCaption14,1068,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerClosedCaption15,1069,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerAudioDescription1,1070,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerAudioDescription2,1071,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerAudioDescription3,1072,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerAudioDescription4,1073,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerAudioDescription5,1074,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerAudioDescription6,1075,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerAudioDescription7,1076,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerAudioDescription8,1077,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerAudioDescription9,1078,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerAudioDescription10,1079,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerAudioDescription11,1080,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerAudioDescription12,1081,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerAudioDescription13,1082,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerAudioDescription14,1083,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
TrailerAudioDescription15,1084,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
