Field,ID,Type (種類),default,ja,en,de,ko,vi,zh-cn,zh-tw
Description,2,テキスト,,"WindowTranslator は、PC 上で動作するゲームやアプリの画面テキストをそのまま読み取り、訳文をオーバーレイ表示する Windows 向けの翻訳ツールです。対象のウィンドウを選ぶだけで、プレイ中・作業中の体験を壊さずに翻訳結果を重ねて表示できます。

DeepL API や Google AI など、お好みの翻訳エンジンを選んで利用でき、必要に応じて OCR（画面文字の自動認識）も連携。複雑な設定なしに、ゲームの UI やダイアログ、ブラウザーやドキュメントなど、アプリを問わず幅広く扱えます。","WindowTranslator is a Windows translation tool that directly reads screen text from games and apps running on PC and displays translations as an overlay. Simply select the target window to display translation results overlaid without disrupting your gaming or working experience.

You can choose and use your preferred translation engine such as DeepL API or Google AI, and integrate OCR (automatic screen text recognition) when needed. Without complex setup, it can be used broadly for game UI, dialogs, browsers, documents, and various other applications.","WindowTranslator ist ein Übersetzungstool für Windows, das Bildschirmtext von auf dem PC laufenden Spielen und Apps direkt liest und die Übersetzung als Overlay anzeigt. Durch einfaches Auswählen des Zielfensters können Sie Übersetzungsergebnisse überlagert anzeigen, ohne das Spiel- oder Arbeitserlebnis zu unterbrechen.

Sie können Ihre bevorzugte Übersetzungsengine wie DeepL API oder Google AI auswählen und nutzen, und bei Bedarf auch OCR (automatische Bildschriftzeichenerkennung) integrieren. Ohne komplexe Einstellungen kann es breit für Spiele-UI, Dialoge, Browser, Dokumente und andere Apps verwendet werden.","WindowTranslator는 PC에서 실행되는 게임이나 앱의 화면 텍스트를 그대로 읽어서 번역문을 오버레이로 표시하는 Windows용 번역 도구입니다. 대상 창을 선택하기만 하면 플레이 중이나 작업 중의 경험을 방해하지 않고 번역 결과를 겹쳐서 표시할 수 있습니다.

DeepL API나 Google AI 등 원하는 번역 엔진을 선택해서 사용할 수 있으며, 필요에 따라 OCR(화면 문자 자동 인식)도 연동 가능합니다. 복잡한 설정 없이 게임 UI나 대화창, 브라우저나 문서 등 앱에 관계없이 폭넓게 활용할 수 있습니다.","WindowTranslator là một công cụ dịch thuật cho Windows có thể đọc văn bản trên màn hình của các game hoặc ứng dụng chạy trên PC và hiển thị bản dịch dưới dạng overlay. Chỉ cần chọn cửa sổ mục tiêu, bạn có thể hiển thị kết quả dịch thuật chồng lên mà không làm gián đoạn trải nghiệm chơi game hoặc làm việc.

Bạn có thể chọn và sử dụng công cụ dịch thuật yêu thích như DeepL API hoặc Google AI, và kết hợp với OCR (nhận dạng ký tự tự động trên màn hình) khi cần thiết. Không cần cài đặt phức tạp, có thể sử dụng rộng rãi cho UI game, hộp thoại, trình duyệt, tài liệu và các ứng dụng khác.","WindowTranslator 是一款 Windows 翻译工具，可直接读取在 PC 上运行的游戏或应用程序的屏幕文本，并以覆盖层方式显示译文。只需选择目标窗口，就能在不破坏游戏或工作体验的情况下，将翻译结果叠加显示。

您可以选择并使用喜欢的翻译引擎，如 DeepL API 或 Google AI，必要时也可搭配 OCR（屏幕文字自动识别）功能。无需复杂设置，即可广泛应用于游戏 UI、对话框、浏览器、文档等各种应用程序。","WindowTranslator 是一款 Windows 翻譯工具，可直接讀取在 PC 上運行的遊戲或應用程式的畫面文字，並以覆蓋層方式顯示譯文。只需選擇目標視窗，就能在不破壞遊戲或工作體驗的情況下，將翻譯結果疊加顯示。

您可以選擇並使用喜歡的翻譯引擎，如 DeepL API 或 Google AI，必要時也可搭配 OCR（畫面文字自動識別）功能。無需複雜設定，即可廣泛應用於遊戲 UI、對話框、瀏覽器、文件等各種應用程式。"
ReleaseNotes,3,テキスト,,,,,,,,
Title,4,テキスト,,WindowTranslator,WindowTranslator,WindowTranslator,WindowTranslator,WindowTranslator,WindowTranslator,WindowTranslator
ShortTitle,5,テキスト,,,,,,,,
SortTitle,6,テキスト,,,,,,,,
VoiceTitle,7,テキスト,,,,,,,,
ShortDescription,8,テキスト,,"WindowTranslator は、PCゲームやアプリのテキストをOCRで読み取り、DeepL/Googleなどで翻訳、訳文を画面に重ねて表示するツールです。セットアップ簡単、低遅延。ホットキー・プロファイル・表示調整対応。","WindowTranslator is a tool that reads text from PC games and apps using OCR, translates with DeepL/Google and displays overlaid on screen. Easy setup, low latency. Supports hotkeys·profiles·display adjustment.","WindowTranslator ist ein Tool das Text aus PC-Spielen und Apps per OCR liest, mit DeepL/Google übersetzt und auf dem Bildschirm überlagert. Einfache Einrichtung, niedrige Latenz. Unterstützt Hotkeys·Profile·Anzeigeeinstellungen.","WindowTranslator는 PC 게임이나 앱의 텍스트를 OCR로 읽어서 DeepL/Google 등으로 번역하고 화면에 겹쳐 표시하는 도구입니다. 설정 간편하고 저지연. 핫키·프로필·표시 조정 지원.","WindowTranslator là công cụ đọc văn bản từ game hoặc ứng dụng PC bằng OCR, dịch bằng DeepL/Google và hiển thị chồng lên màn hình. Cài đặt đơn giản, độ trễ thấp. Hỗ trợ phím tắt·profile·điều chỉnh hiển thị.","WindowTranslator 是一款利用 OCR 读取 PC 游戏或应用程序文本，通过 DeepL/Google 等翻译并叠加显示在屏幕上的工具。设置简单、低延迟。支持热键·配置文件·显示调整。","WindowTranslator 是一款利用 OCR 讀取 PC 遊戲或應用程式文字，通過 DeepL/Google 等翻譯並疊加顯示在螢幕上的工具。設定簡單、低延遲。支援熱鍵·設定檔·顯示調整。"
DevStudio,9,テキスト,,StudioFreesia,StudioFreesia,StudioFreesia,StudioFreesia,StudioFreesia,StudioFreesia,StudioFreesia
CopyrightTrademarkInformation,12,テキスト,,,,,,,,
AdditionalLicenseTerms,13,テキスト,,,,,,,,
DesktopScreenshot1,100,相対パス (またはパートナー センターにあるファイルへの URL),,store_ss_01.png,store_ss_01.png,store_ss_01.png,store_ss_01.png,store_ss_01.png,store_ss_01.png,store_ss_01.png
DesktopScreenshot2,101,相対パス (またはパートナー センターにあるファイルへの URL),,store_ss_02.png,store_ss_02.png,store_ss_02.png,store_ss_02.png,store_ss_02.png,store_ss_02.png,store_ss_02.png
DesktopScreenshot3,102,相対パス (またはパートナー センターにあるファイルへの URL),,store_ss_03.png,store_ss_03.png,store_ss_03.png,store_ss_03.png,store_ss_03.png,store_ss_03.png,store_ss_03.png
DesktopScreenshot4,103,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot5,104,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot6,105,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot7,106,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot8,107,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot9,108,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot10,109,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot11,110,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot12,111,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot13,112,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot14,113,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot15,114,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot16,115,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot17,116,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot18,117,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot19,118,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot20,119,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot21,120,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot22,121,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot23,122,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot24,123,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot25,124,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot26,125,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot27,126,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot28,127,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot29,128,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshot30,129,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
DesktopScreenshotCaption1,150,テキスト,,,,,,,,
DesktopScreenshotCaption2,151,テキスト,,,,,,,,
DesktopScreenshotCaption3,152,テキスト,,,,,,,,
DesktopScreenshotCaption4,153,テキスト,,,,,,,,
DesktopScreenshotCaption5,154,テキスト,,,,,,,,
DesktopScreenshotCaption6,155,テキスト,,,,,,,,
DesktopScreenshotCaption7,156,テキスト,,,,,,,,
DesktopScreenshotCaption8,157,テキスト,,,,,,,,
DesktopScreenshotCaption9,158,テキスト,,,,,,,,
DesktopScreenshotCaption10,159,テキスト,,,,,,,,
DesktopScreenshotCaption11,160,テキスト,,,,,,,,
DesktopScreenshotCaption12,161,テキスト,,,,,,,,
DesktopScreenshotCaption13,162,テキスト,,,,,,,,
DesktopScreenshotCaption14,163,テキスト,,,,,,,,
DesktopScreenshotCaption15,164,テキスト,,,,,,,,
DesktopScreenshotCaption16,165,テキスト,,,,,,,,
DesktopScreenshotCaption17,166,テキスト,,,,,,,,
DesktopScreenshotCaption18,167,テキスト,,,,,,,,
DesktopScreenshotCaption19,168,テキスト,,,,,,,,
DesktopScreenshotCaption20,169,テキスト,,,,,,,,
DesktopScreenshotCaption21,170,テキスト,,,,,,,,
DesktopScreenshotCaption22,171,テキスト,,,,,,,,
DesktopScreenshotCaption23,172,テキスト,,,,,,,,
DesktopScreenshotCaption24,173,テキスト,,,,,,,,
DesktopScreenshotCaption25,174,テキスト,,,,,,,,
DesktopScreenshotCaption26,175,テキスト,,,,,,,,
DesktopScreenshotCaption27,176,テキスト,,,,,,,,
DesktopScreenshotCaption28,177,テキスト,,,,,,,,
DesktopScreenshotCaption29,178,テキスト,,,,,,,,
DesktopScreenshotCaption30,179,テキスト,,,,,,,,
MobileScreenshot1,200,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot2,201,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot3,202,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot4,203,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot5,204,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot6,205,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot7,206,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot8,207,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot9,208,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot10,209,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot11,210,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot12,211,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot13,212,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot14,213,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot15,214,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot16,215,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot17,216,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot18,217,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot19,218,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot20,219,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot21,220,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot22,221,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot23,222,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot24,223,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot25,224,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot26,225,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot27,226,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot28,227,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot29,228,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshot30,229,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
MobileScreenshotCaption1,250,テキスト,,,,,,,,
MobileScreenshotCaption2,251,テキスト,,,,,,,,
MobileScreenshotCaption3,252,テキスト,,,,,,,,
MobileScreenshotCaption4,253,テキスト,,,,,,,,
MobileScreenshotCaption5,254,テキスト,,,,,,,,
MobileScreenshotCaption6,255,テキスト,,,,,,,,
MobileScreenshotCaption7,256,テキスト,,,,,,,,
MobileScreenshotCaption8,257,テキスト,,,,,,,,
MobileScreenshotCaption9,258,テキスト,,,,,,,,
MobileScreenshotCaption10,259,テキスト,,,,,,,,
MobileScreenshotCaption11,260,テキスト,,,,,,,,
MobileScreenshotCaption12,261,テキスト,,,,,,,,
MobileScreenshotCaption13,262,テキスト,,,,,,,,
MobileScreenshotCaption14,263,テキスト,,,,,,,,
MobileScreenshotCaption15,264,テキスト,,,,,,,,
MobileScreenshotCaption16,265,テキスト,,,,,,,,
MobileScreenshotCaption17,266,テキスト,,,,,,,,
MobileScreenshotCaption18,267,テキスト,,,,,,,,
MobileScreenshotCaption19,268,テキスト,,,,,,,,
MobileScreenshotCaption20,269,テキスト,,,,,,,,
MobileScreenshotCaption21,270,テキスト,,,,,,,,
MobileScreenshotCaption22,271,テキスト,,,,,,,,
MobileScreenshotCaption23,272,テキスト,,,,,,,,
MobileScreenshotCaption24,273,テキスト,,,,,,,,
MobileScreenshotCaption25,274,テキスト,,,,,,,,
MobileScreenshotCaption26,275,テキスト,,,,,,,,
MobileScreenshotCaption27,276,テキスト,,,,,,,,
MobileScreenshotCaption28,277,テキスト,,,,,,,,
MobileScreenshotCaption29,278,テキスト,,,,,,,,
MobileScreenshotCaption30,279,テキスト,,,,,,,,
XboxScreenshot1,300,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot2,301,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot3,302,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot4,303,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot5,304,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot6,305,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot7,306,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot8,307,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot9,308,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot10,309,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot11,310,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot12,311,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot13,312,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot14,313,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot15,314,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot16,315,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot17,316,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot18,317,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot19,318,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot20,319,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot21,320,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot22,321,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot23,322,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot24,323,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot25,324,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot26,325,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot27,326,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot28,327,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot29,328,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot30,329,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshotCaption1,350,テキスト,,,,,,,,
XboxScreenshotCaption2,351,テキスト,,,,,,,,
XboxScreenshotCaption3,352,テキスト,,,,,,,,
XboxScreenshotCaption4,353,テキスト,,,,,,,,
XboxScreenshotCaption5,354,テキスト,,,,,,,,
XboxScreenshotCaption6,355,テキスト,,,,,,,,
XboxScreenshotCaption7,356,テキスト,,,,,,,,
XboxScreenshotCaption8,357,テキスト,,,,,,,,
XboxScreenshotCaption9,358,テキスト,,,,,,,,
XboxScreenshotCaption10,359,テキスト,,,,,,,,
XboxScreenshotCaption11,360,テキスト,,,,,,,,
XboxScreenshotCaption12,361,テキスト,,,,,,,,
XboxScreenshotCaption13,362,テキスト,,,,,,,,
XboxScreenshotCaption14,363,テキスト,,,,,,,,
XboxScreenshotCaption15,364,テキスト,,,,,,,,
XboxScreenshotCaption16,365,テキスト,,,,,,,,
XboxScreenshotCaption17,366,テキスト,,,,,,,,
XboxScreenshotCaption18,367,テキスト,,,,,,,,
XboxScreenshotCaption19,368,テキスト,,,,,,,,
XboxScreenshotCaption20,369,テキスト,,,,,,,,
XboxScreenshotCaption21,370,テキスト,,,,,,,,
XboxScreenshotCaption22,371,テキスト,,,,,,,,
XboxScreenshotCaption23,372,テキスト,,,,,,,,
XboxScreenshotCaption24,373,テキスト,,,,,,,,
XboxScreenshotCaption25,374,テキスト,,,,,,,,
XboxScreenshotCaption26,375,テキスト,,,,,,,,
XboxScreenshotCaption27,376,テキスト,,,,,,,,
XboxScreenshotCaption28,377,テキスト,,,,,,,,
XboxScreenshotCaption29,378,テキスト,,,,,,,,
XboxScreenshotCaption30,379,テキスト,,,,,,,,
HolographicScreenshot1,400,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot2,401,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot3,402,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
